baseline,lambda_cost,gamma_cost,mean_utility_diff_qk_minus_baseline,ci95_low,ci95_high,prob_diff_gt_0,qk_better_ci95
Energy distance,0.0,0.0,0.01015625,-0.5654036458333332,0.6521093749999997,0.4,False
JSD,0.0,0.0,0.38333333333333336,-0.26875651041666665,1.2677213541666665,0.6,False
KS-max,0.0,0.0,0.7609375,-0.04375,1.890130208333333,0.5,False
MMD-RBF,0.0,0.0,0.4921875,-0.16745442708333333,1.3018424479166664,0.5,False
QK-MMD PauliXZ,0.0,0.0,0.63515625,-0.12395833333333334,1.593509114583333,0.5,False
Energy distance,0.0,0.01,-0.04979815043190792,-0.6258486434259704,0.5928502958775467,0.4,False
JSD,0.0,0.01,0.32306078023265594,-0.3292986983126454,1.207328995151509,0.6,False
KS-max,0.0,0.01,0.7024756706321686,-0.10218602156216434,1.8315285235644252,0.4666666666666667,False
MMD-RBF,0.0,0.01,0.44808075159892913,-0.2115764077162727,1.257242717286595,0.5,False
QK-MMD PauliXZ,0.0,0.01,0.6388293847662477,-0.12022622225230836,1.5973230134397791,0.5,False
Energy distance,0.0,0.05,-0.2896157521595403,-0.8675520808836978,0.35654417267904503,0.3333333333333333,False
JSD,0.0,0.05,0.08197056782994559,-0.5695346275425014,0.9658823151615406,0.4666666666666667,False
KS-max,0.0,0.05,0.46862835316084467,-0.33515362894971645,1.5970864792148287,0.43333333333333335,False
MMD-RBF,0.0,0.05,0.27165375799464525,-0.38727707182780424,1.081878054228112,0.43333333333333335,False
QK-MMD PauliXZ,0.0,0.05,0.6535219238312372,-0.10530413618321922,1.6125786088655634,0.5,False
Energy distance,0.0,0.1,-0.5893877543190806,-1.169284001538103,0.05770752870449512,0.3333333333333333,False
JSD,0.0,0.1,-0.21939219767344198,-0.8713820067897422,0.6637977640150926,0.2,False
KS-max,0.0,0.1,0.17631920632168965,-0.628274911662001,1.3067403009776701,0.26666666666666666,False
MMD-RBF,0.0,0.1,0.051120015989290536,-0.6073687083985813,0.860637097672627,0.4,False
QK-MMD PauliXZ,0.0,0.1,0.6718875976624742,-0.08681025893786376,1.6315982025026943,0.5,False
Energy distance,0.0,0.25,-1.4887037607977012,-2.07286168314485,-0.8373752986826245,0.13333333333333333,False
JSD,0.0,0.25,-1.1234804941836045,-1.7728761237066404,-0.2431655790811783,0.06666666666666667,False
KS-max,0.0,0.25,-0.700608234195776,-1.5011079911754495,0.4326811060229372,0.16666666666666666,False
MMD-RBF,0.0,0.25,-0.6104812100267736,-1.2668101146679207,0.19692832495318657,0.2,False
QK-MMD PauliXZ,0.0,0.25,0.7269846191561858,-0.03262918159976834,1.6877721806803552,0.5333333333333333,False
Energy distance,0.1,0.0,0.22015624999999944,-0.3644348958333337,0.8720911458333327,0.4666666666666667,False
JSD,0.1,0.0,0.4266666666666666,-0.22792057291666679,1.31463671875,0.6,False
KS-max,0.1,0.0,0.7909375,-0.0029218750000001847,1.9085481770833332,0.5333333333333333,False
MMD-RBF,0.1,0.0,0.5855208333333332,-0.07109765625000032,1.389700520833333,0.5,False
QK-MMD PauliXZ,0.1,0.0,0.6384895833333334,-0.11913411458333328,1.6035091145833333,0.5,False
Energy distance,0.1,0.01,0.16020184956809155,-0.42503553600552696,0.8128243880064894,0.43333333333333335,False
JSD,0.1,0.01,0.3663941135659892,-0.2881592983281026,1.2544480727384082,0.6,False
KS-max,0.1,0.01,0.7324756706321687,-0.060872476674147094,1.8502156152276559,0.4666666666666667,False
MMD-RBF,0.1,0.01,0.5414140849322621,-0.11483459891144021,1.3453292043766407,0.5,False
QK-MMD PauliXZ,0.1,0.01,0.6421627180995809,-0.11567033618193798,1.6073231891289534,0.5,False
Energy distance,0.1,0.05,-0.07961575215954081,-0.6648817125056233,0.5748752954788643,0.36666666666666664,False
JSD,0.1,0.05,0.12530390116327883,-0.5284418530551,1.0131669426133887,0.5,False
KS-max,0.1,0.05,0.49862835316084453,-0.29517407651784544,1.6158257888588115,0.4666666666666667,False
MMD-RBF,0.1,0.05,0.3649870913279783,-0.2907803452144193,1.1689813814870864,0.4666666666666667,False
QK-MMD PauliXZ,0.1,0.05,0.6568552571645706,-0.1018152225763574,1.6225794873114354,0.5,False
Energy distance,0.1,0.1,-0.37938775431908117,-0.9662431746510272,0.27576747749524505,0.3333333333333333,False
JSD,0.1,0.1,-0.17605886434010876,-0.8304768443616151,0.7108000456515577,0.23333333333333334,False
KS-max,0.1,0.1,0.20631920632168949,-0.5868729567398064,1.3228631661100267,0.3,False
MMD-RBF,0.1,0.1,0.14445334932262358,-0.5108835269559158,0.9489510702559489,0.43333333333333335,False
QK-MMD PauliXZ,0.1,0.1,0.6752209309958073,-0.08418359705084008,1.6416498600395375,0.5,False
Energy distance,0.1,0.25,-1.2787037607977016,-1.8722112182110044,-0.6173582807971403,0.13333333333333333,False
JSD,0.1,0.25,-1.080147160850271,-1.7333816522123526,-0.1950173248649568,0.06666666666666667,False
KS-max,0.1,0.25,-0.670608234195776,-1.4620853752776601,0.44489493939277086,0.16666666666666666,False
MMD-RBF,0.1,0.25,-0.5171478766934405,-1.1705010087649863,0.283646296843881,0.23333333333333334,False
QK-MMD PauliXZ,0.1,0.25,0.7303179524895193,-0.029539029203801526,1.6977898500767814,0.5333333333333333,False
Energy distance,0.25,0.0,0.53515625,-0.07188151041666666,1.20130859375,0.5333333333333333,False
JSD,0.25,0.0,0.49166666666666664,-0.16380859374999998,1.3877669270833333,0.6333333333333333,False
KS-max,0.25,0.0,0.8359375,0.056503906250000006,1.934388020833333,0.6333333333333333,True
